time,journal,doi_info,authors,key words,title,abstract
2024 Mar-Apr,Ophthalmology. Glaucoma,Ophthalmol Glaucoma. 2024 Mar-Apr;7(2):139-147. doi: 10.1016/j.ogla.2023.08.006. ,"['Chia, Zer Keen', 'Kong, Alan W', 'Turner, Marcus L', 'Saifee, Murtaza', 'Damato, Bertil E', 'Backus, Benjamin T', 'Blaha, James J', 'Schuman, Joel S', 'Deiner, Michael S', 'Ou, Yvonne']","['humans', ' visual field tests methods', 'visual fields', 'cross-sectional studies', 'vision disorders', ' glaucoma diagnosis', 'clustered visual field testing', 'feasibility', 'glaucoma', 'remote training', 'virtual reality', 'visual field testing']","Assessment of Remote Training, At-Home Testing, and Test-Retest Variability of a Novel Test for Clustered Virtual Reality Perimetry.","OBJECTIVE: To assess the feasibility of remotely training glaucoma patients to take a 10-session clustered virtual reality (VR) visual field (VF) test (Vivid Vision Perimetry [VVP-10]) at home, analyze results for test-retest variability, and assess correspondence with conventional perimetry. DESIGN: Cross-sectional study. SUBJECTS: Twenty-one subjects with glaucoma were enrolled and included in the feasibility assessment of remote training. Thirty-six eyes were used for test-retest analysis and determination of concordance with the Humphrey Field Analyzer (HFA). METHODS: Subjects were provided with a mobile VR headset containing the VVP-10 test software and trained remotely via video conferencing. Subjects were instructed to complete 10 sessions over a 14-day period. MAIN OUTCOME MEASURES: Feasibility was determined by the number of subjects who were able to independently complete VVP-10 over the 14-day period after 1 remote training session. The intraclass correlation coefficient (ICC) for average fraction seen across 10 sessions and the standard error (SE) of the mean were primary outcome measures for assessing test-retest variability. Correlation with HFA mean sensitivity (MS) across eyes, was a secondary outcome measure. RESULTS: Twenty subjects (95%) successfully completed the VVP-10 test series after 1 training session. The ICC for VVP-10 was 0.95 (95% confidence interval ["
2023,Brain communications,Brain Commun. 2023 Apr 11;5(2):fcad119. doi: 10.1093/braincomms/fcad119. ,"['Bang, Ji Won', 'Chan, Russell W', 'Parra, Carlos', 'Murphy, Matthew C', 'Schuman, Joel S', 'Nau, Amy C', 'Chan, Kevin C']","['basal forebrain', 'blindness', 'choline', 'nucleus basalis of meynert', 'plasticity']",Diverging patterns of plasticity in the nucleus basalis of Meynert in early- and late-onset blindness.,"Plasticity in the brain is impacted by an individual's age at the onset of the blindness. However, what drives the varying degrees of plasticity remains largely unclear. One possible explanation attributes the mechanisms for the differing levels of plasticity to the cholinergic signals originating in the nucleus basalis of Meynert. This explanation is based on the fact that the nucleus basalis of Meynert can modulate cortical processes such as plasticity and sensory encoding through its widespread cholinergic projections. Nevertheless, there is no direct evidence indicating that the nucleus basalis of Meynert undergoes plastic changes following blindness. Therefore, using multiparametric magnetic resonance imaging, we examined if the structural and functional properties of the nucleus basalis of Meynert differ between early blind, late blind and sighted individuals. We observed that early and late blind individuals had a preserved volumetric size and cerebrovascular reactivity in the nucleus basalis of Meynert. However, we observed a reduction in the directionality of water diffusion in both early and late blind individuals compared to sighted individuals. Notably, the nucleus basalis of Meynert presented diverging patterns of functional connectivity between early and late blind individuals. This functional connectivity was enhanced at both global and local (visual, language and default-mode networks) levels in the early blind individuals, but there were little-to-no changes in the late blind individuals when compared to sighted controls. Furthermore, the age at onset of blindness predicted both global and local functional connectivity. These results suggest that upon reduced directionality of water diffusion in the nucleus basalis of Meynert, cholinergic influence may be stronger for the early blind compared to the late blind individuals. Our findings are important to unravelling why early blind individuals present stronger and more widespread cross-modal plasticity compared to late blind individuals."
2023 Apr 3,Translational vision science & technology,Transl Vis Sci Technol. 2023 Apr 3;12(4):4. doi: 10.1167/tvst.12.4.4.,"['Alexopoulos, Palaiologos', 'Glidai, Yoav', 'Ghassabi, Zeinab', 'Wang, Bo', 'Tayebi, Behnam', 'Vellappally, Anse', 'Wu, Mengfei', 'Liu, Mengling', 'Lucy-Jones, Katie', 'Zambrano, Ronald', 'Ishikawa, Hiroshi', 'Schuman, Joel S', 'Wollstein, Gadi']","['animals', ' optic disk', ' glaucoma', 'intraocular pressure', 'tonometry, ocular', 'tomography, optical coherence methods']",Under Pressure: Lamina Cribrosa Pore Path Tortuosity in Response to Acute Pressure Modulation.,"PURPOSE: Lamina cribrosa (LC) deformation is hypothesized to play a major role in glaucoma pathogenesis. The purpose of this study was to determine in vivo how varying intraocular pressure (IOP) under fixed intracranial pressure (ICP), and vice versa, deforms the pore paths throughout the LC volume. METHODS: Spectral-domain optical coherence tomography scans of the optic nerve head were acquired from healthy adult rhesus monkeys under different pressures. IOP and ICP were controlled with gravity-based perfusion systems into the anterior chamber and lateral ventricle, respectively. IOP and ICP were modulated from baseline to high (19-30 mmHg) and highest (35-50 mmHg) levels while maintaining a fixed ICP of 8 to 12 mmHg and IOP of 15 mmHg, respectively. After three-dimensional registration and segmentation, the paths of pores visible in all settings were tracked based on their geometric centroids. Pore path tortuosity was defined as the measured distance divided by the minimal distance between the most anterior and posterior centroids. RESULTS: The median pore tortuosity at baseline varied among the eyes (range, 1.16-1.68). For the IOP effect under fixed ICP (six eyes, five animals), two eyes showed statistically significant increased tortuosity and one showed a decrease (P < 0.05, mixed-effects model). No significant change was detected in three eyes. When modulating ICP under fixed IOP (five eyes, four animals), a similar response pattern was detected. CONCLUSIONS: Baseline pore tortuosity and the response to acute pressure increase vary substantially across eyes. TRANSLATIONAL RELEVANCE: LC pore path tortuosity could be associated with glaucoma susceptibility."
2023 Jul,Ophthalmology,Ophthalmology. 2023 Jul;130(7):702-714. doi: 10.1016/j.ophtha.2023.02.028. Epub ,"['Sherry, Brooke', 'Lee, Samuel', 'Ramos Cadena, Maria De Los Angeles', 'Laynor, Gregory', 'Patel, Sheel R', 'Simon, Maxine dellaBadia', 'Romanowski, Eric G', 'Hochman, Sarah E', 'Schuman, Joel S', 'Prescott, Christina', 'Thiel, Cassandra L']","['humans', ' ophthalmologists', ' cataract extraction', ' cataract', ' lens, crystalline', ' ophthalmology', 'carbon emissions', 'cataracts', 'climate change', 'efficiency', 'greenhouse gases', 'health care delivery', 'life cycle assessment', 'quality', 'surgery', 'sustainability', 'value']",How Ophthalmologists Can Decarbonize Eye Care: A Review of Existing Sustainability Strategies and Steps Ophthalmologists Can Take.,"TOPIC: Understanding approaches to sustainability in cataract surgery and their risks and benefits. CLINICAL RELEVANCE: In the United States, health care is responsible for approximately 8.5% of greenhouse gas (GHG), and cataract surgery is one of the most commonly performed surgical procedures. Ophthalmologists can contribute to reducing GHG emissions, which lead to a steadily increasing list of health concerns ranging from trauma to food instability. METHODS: We conducted a literature review to identify the benefits and risks of sustainability interventions. We then organized these interventions into a decision tree for use by individual surgeons. RESULTS: Identified sustainability interventions fall into the domains of advocacy and education, pharmaceuticals, process, and supplies and waste. Existing literature shows certain interventions may be safe, cost-effective, and environmentally friendly. These include dispensing medications at home to patients after surgery, multi-dosing appropriate medications, training staff to properly sort medical waste, reducing the number of supplies used during surgery, and implementing immediate sequential bilateral cataract surgery where clinically appropriate. The literature was lacking on the benefits or risks for some interventions, such as switching specific single-use supplies to reusables or implementing a hub-and-spoke-style operating room setup. Many of the advocacy and education interventions have inadequate literature specific to ophthalmology but are likely to have minimal risks. CONCLUSIONS: Ophthalmologists can engage in a variety of safe and effective approaches to reduce or eliminate dangerous GHG emissions associated with cataract surgery. FINAN"
2023 Jan 31,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jan 31:2023.01.29.526113. doi: ,"['Zhu, Ziyi', 'Waxman, Susannah', 'Wang, Bo', 'Wallace, Jacob', 'Schmitt, Samantha E', 'Tyler-Kabara, Elizabeth', 'Ishikawa, Hiroshi', 'Schuman, Joel S', 'Smith, Matthew A', 'Wollstein, Gadi', 'Sigal, Ian A']","['biomechanics', 'glaucoma', 'intracranial pressure', 'intraocular pressure', 'lamina cribrosa', 'oct', 'optic nerve head', 'translaminar pressure']",In vivo Modulation of Intraocular and Intracranial Pressures Causes Nonlinear and Non-monotonic Deformations of the Lamina Cribrosa and Scleral Canal.,"PURPOSE: To evaluate changes in monkey optic nerve head (ONH) morphology under acutely controlled intraocular pressure (IOP) and intracranial pressure (ICP). METHODS: Seven ONHs from six monkeys were imaged via optical coherence tomography while IOP and ICP were maintained at one of 16 conditions. These conditions were defined by 4 levels for each pressure: low, baseline, high and very high. Images were processed to determine scleral canal area, aspect ratio, and planarity and anterior lamina cribrosa (ALC) shape index and curvature. Linear mixed effect models were utilized to investigate the effects of IOP, ICP and their interactions on ONH morphological features. The IOP-ICP interaction model was compared with one based on translaminar pressure difference (TLPD). RESULTS: We observed complex, eye-specific, non-linear patterns of ONH morphological changes with changes in IOP and ICP. For all ONH morphological features, linear mixed effects models demonstrated significant interactions between IOP and ICP that were unaccounted for by TLPD. Interactions indicate that the effects of IOP and ICP depend on the other pressure. The IOP-ICP interaction model was a higher quality predictor of ONH features than a TLPD model. CONCLUSIONS: In vivo modulation of IOP and ICP causes nonlinear and non-monotonic changes in monkey ONH morphology that depend on both pressures and is not accounted for by a simplistic TLPD. These results support and extend prior findings. TRANSLATIONAL RELEVANCE: A better understanding of ICP's influence on the effects of IOP can help inform the highly variable presentations of glaucoma and effective treatment strategies."
2022 Dec 1,Translational vision science & technology,Transl Vis Sci Technol. 2022 Dec 1;11(12):1. doi: 10.1167/tvst.11.12.1.,"['Wei, Junchao', 'Hua, Yi', 'Yang, Bin', 'Wang, Bo', 'Schmitt, Samantha E', 'Wang, Bingrui', 'Lucy, Katie A', 'Ishikawa, Hiroshi', 'Schuman, Joel S', 'Smith, Matthew A', 'Wollstein, Gadi', 'Sigal, Ian A']","['humans', 'autopsy', ' optic disk diagnostic imaging', ' glaucoma', 'biomechanical phenomena', 'biophysics']",Comparing Acute IOP-Induced Lamina Cribrosa Deformations Premortem and Postmortem.,"PURPOSE: Lamina cribrosa (LC) deformations caused by elevated intraocular pressure (IOP) are believed to contribute to glaucomatous neuropathy and have therefore been extensively studied, in many conditions, from in vivo to ex vivo. We compare acute IOP-induced global and local LC deformations immediately before (premortem) and after (postmortem) sacrifice by exsanguination. METHODS: The optic nerve heads of three healthy monkeys 12 to 15 years old were imaged with spectral-domain optical coherence tomography under controlled IOP premortem and postmortem. Volume scans were acquired at baseline IOP (8-10 mm Hg) and at 15, 30, and 40 mm Hg IOP. A digital volume correlation technique was used to determine the IOP-induced three-dimensional LC deformations (strains) in regions visible premortem and postmortem. RESULTS: Both conditions exhibited similar nonlinear relationships between IOP increases and LC deformations. Median effective and shear strains were, on average, over all eyes and pressures, smaller postmortem than premortem, by 14% and 11%, respectively (P's < 0.001). Locally, however, the differences in LC deformation between conditions were variable. Some regions were subjected premortem to triple the strains observed postmortem, and others suffered smaller deformations premortem than postmortem. CONCLUSIONS: Increasing IOP acutely caused nonlinear LC deformations with an overall smaller effect postmortem than premortem. Locally, deformations premortem and postmortem were sometimes substantially different. We suggest that the differences may be due to weakened mechanical support from the unpressurized central retinal vessels postmortem. TRANSLATIONAL RELEVANCE: Additional to the important premortem information, comparison with postmortem provides a unique context essential to understand the translational relevance of all postmortem biomechanics literature."
2022 Dec 1,Journal of neuro-ophthalmology : the official journal of the North American ,J Neuroophthalmol. 2022 Dec 1;42(4):442-453. doi: 10.1097/WNO.0000000000001717. ,"['Kenney, Rachel', 'Liu, Mengling', 'Hasanaj, Lisena', 'Joseph, Binu', 'Al-Hassan, Abdullah A', 'Balk, Lisanne', 'Behbehani, Raed', 'Brandt, Alexander U', 'Calabresi, Peter A', 'Frohman, Elliot M', 'Frohman, Teresa', 'Havla, Joachim', 'Hemmer, Bernhard', 'Jiang, Hong', 'Knier, Benjamin', 'Korn, Thomas', 'Leocani, Letizia', 'Martínez-Lapiscina, Elena H', 'Papadopoulou, Athina', 'Paul, Friedemann', 'Petzold, Axel', 'Pisa, Marco', 'Villoslada, Pablo', 'Zimmermann, Hanna', 'Ishikawa, Hiroshi', 'Schuman, Joel S', 'Wollstein, Gadi', 'Chen, Yu', 'Saidha, Shiv', 'Thorpe, Lorna E', 'Galetta, Steven L', 'Balcer, Laura J']","['male', 'female', 'humans', 'adolescent', 'young adult', 'adult', 'middle aged', 'aged', 'aged, 80 and over', ' tomography, optical coherence methods', 'nerve fibers', 'retinal ganglion cells', 'cross-sectional studies', ' multiple sclerosis diagnostic imaging']",Normative Data and Conversion Equation for Spectral-Domain Optical Coherence Tomography in an International Healthy Control Cohort.,BACKGROUND: Spectral-domain (SD-) optical coherence tomography (OCT) can reliably measure axonal (peripapillary retinal nerve fiber layer [pRNFL]) and neuronal (macular ganglion cell + inner plexiform layer [G
2022,Frontiers in medicine,Front Med (Lausanne). 2022 Jun 30;9:891369. doi: 10.3389/fmed.2022.891369. ,"['Alexopoulos, Palaiologos', 'Madu, Chisom', 'Wollstein, Gadi', 'Schuman, Joel S']","['adaptive optics', 'artificial intelligence – ai', 'full field oct', 'optical coherence tomography', 'optical coherence tomography (angiography) (octa)', 'visible light oct']",The Development and Clinical Application of Innovative Optical Ophthalmic Imaging Techniques.,"The field of ophthalmic imaging has grown substantially over the last years. Massive improvements in image processing and computer hardware have allowed the emergence of multiple imaging techniques of the eye that can transform patient care. The purpose of this review is to describe the most recent advances in eye imaging and explain how new technologies and imaging methods can be utilized in a clinical setting. The introduction of optical coherence tomography (OCT) was a revolution in eye imaging and has since become the standard of care for a plethora of conditions. Its most recent iterations, OCT angiography, and visible light OCT, as well as imaging modalities, such as fluorescent lifetime imaging ophthalmoscopy, would allow a more thorough evaluation of patients and provide additional information on disease processes. Toward that goal, the application of adaptive optics (AO) and full-field scanning to a variety of eye imaging techniques has further allowed the histologic study of single cells in the retina and anterior segment. Toward the goal of remote eye care and more accessible eye imaging, methods such as handheld OCT devices and imaging through smartphones, have emerged. Finally, incorporating artificial intelligence (AI) in eye images has the potential to become a new milestone for eye imaging while also contributing in social aspects of eye care."
2022 May 2,Investigative ophthalmology & visual science,Invest Ophthalmol Vis Sci. 2022 May 2;63(5):25. doi: 10.1167/iovs.63.5.25.,"['Glidai, Yoav', 'Lucy, Katie A', 'Schuman, Joel S', 'Alexopoulos, Palaiologos', 'Wang, Bo', 'Wu, Mengfei', 'Liu, Mengling', 'Vande Geest, Jonathan P', 'Kollech, Hirut G', 'Lee, TingFang', 'Ishikawa, Hiroshi', 'Wollstein, Gadi']","['animals', ' glaucoma', 'intraocular pressure', 'macaca mulatta', ' optic disk', 'tomography, optical coherence', 'tonometry, ocular']",Microstructural Deformations Within the Depth of the Lamina Cribrosa in Response to Acute In Vivo Intraocular Pressure Modulation.,"PURPOSE: The lamina cribrosa (LC) is a leading target for initial glaucomatous damage. We investigated the in vivo microstructural deformation within the LC volume in response to acute IOP modulation while maintaining fixed intracranial pressure (ICP). METHODS: In vivo optic nerve head (ONH) spectral-domain optical coherence tomography (OCT) scans (Leica, Chicago, IL, USA) were obtained from eight eyes of healthy adult rhesus macaques (7 animals; ages = 7.9-14.4 years) in different IOP settings and fixed ICP (8-12 mm Hg). IOP and ICP were controlled by cannulation of the anterior chamber and the lateral ventricle of the brain, respectively, connected to a gravity-controlled reservoir. ONH images were acquired at baseline IOP, 30 mm Hg (H1-IOP), and 40 to 50 mm Hg (H2-IOP). Scans were registered in 3D, and LC microstructure measurements were obtained from shared regions and depths. RESULTS: Only half of the eyes exhibited LC beam-to-pore ratio (BPR) and microstructure deformations. The maximal BPR change location within the LC volume varied between eyes. BPR deformer eyes had a significantly higher baseline connective tissue volume fraction (CTVF) and lower pore aspect ratio (P = 0.03 and P = 0.04, respectively) compared to BPR non-deformer. In all eyes, the magnitude of BPR changes in the anterior surface was significantly different (either larger or smaller) from the maximal change within the LC (H1-IOP: P = 0.02 and H2-IOP: P = 0.004). CONCLUSIONS: The LC deforms unevenly throughout its depth in response to IOP modulation at fixed ICP. Therefore, analysis of merely the anterior LC surface microstructure will not fully capture the microstructure deformations within the LC. BPR deformer eyes have higher CTVF than BPR non-deformer eyes."
2022 Sep,Progress in retinal and eye research,Prog Retin Eye Res. 2022 Sep;90:101063. doi: 10.1016/j.preteyeres.2022.101063. ,"['Coulon, Sara J', 'Schuman, Joel S', 'Du, Yiqin', 'Bahrani Fard, Mohammad Reza', 'Ethier, C Ross', 'Stamer, W Daniel']","['animals', ' glaucoma pathology surgery', 'humans', ' induced pluripotent stem cells', 'intraocular pressure', ' mesenchymal stem cells', 'regeneration', 'trabecular meshwork', 'glaucoma', 'stem cells', 'trabecular meshwork regeneration']",A novel glaucoma approach: Stem cell regeneration of the trabecular meshwork.,"Glaucoma is the leading cause of global irreversible blindness, necessitating research for new, more efficacious treatment options than currently exist. Trabecular meshwork (TM) cells play an important role in the maintenance and function of the aqueous outflow pathway, and studies have found that there is decreased cellularity of the TM in glaucoma. Regeneration of the TM with stem cells has been proposed as a novel therapeutic option by several reports over the last few decades. Stem cells have the capacity for self-renewal and the potential to differentiate into adult functional cells. Several types of stem cells have been investigated in ocular regenerative medicine: tissue specific stem cells, embryonic stem cells, induced pluripotent stem cells, and adult mesenchymal stem cells. These cells have been used in various glaucoma animal models and ex vivo models and have shown success in IOP homeostasis and TM cellularity restoration. They have also demonstrated stability without serious side effects for a significant period of time. Based on current knowledge of TM pathology in glaucoma and existing literature regarding stem cell regeneration of this tissue, we propose a human clinical study as the next step in understanding this potentially revolutionary treatment paradigm. The ability to protect and replace TM cells in glaucomatous eyes could change the field forever."
