time,journal,doi_info,authors,key words,title,abstract
2024 May 2,Viruses,Viruses. 2024 May 2;16(5):723. doi: 10.3390/v16050723.,"['Anantharam, Raghavendran', 'Duchen, Dylan', 'Cox, Andrea L', 'Timp, Winston', 'Thomas, David L', 'Clipman, Steven J', 'Kandathil, Abraham J']","[' anelloviridae genetics isolation & purification classification', 'humans', ' high-throughput nucleotide sequencing methods', ' metagenomics methods', ' genome, viral', ' nanopore sequencing methods', 'nanopores', 'dna, viral genetics', 'virome genetics', 'sequence analysis, dna methods', 'bioinformatics', 'circular viral genomes', 'metagenomics', 'plasma', 'rolling circle amplification', 'virome']",Long-Read Nanopore-Based Sequencing of Anelloviruses.,"Routinely used metagenomic next-generation sequencing (mNGS) techniques often fail to detect low-level viremia (<10(4) copies/mL) and appear biased towards viruses with linear genomes. These limitations hinder the capacity to comprehensively characterize viral infections, such as those attributed to the Anelloviridae family. These near ubiquitous non-pathogenic components of the human virome have circular single-stranded DNA genomes that vary in size from 2.0 to 3.9 kb and exhibit high genetic diversity. Hence, species identification using short reads can be challenging. Here, we introduce a rolling circle amplification (RCA)-based metagenomic sequencing protocol tailored for circular single-stranded DNA genomes, utilizing the long-read Oxford Nanopore platform. The approach was assessed by sequencing anelloviruses in plasma drawn from people who inject drugs (PWID) in two geographically distinct cohorts. We detail the methodological adjustments implemented to overcome difficulties inherent in sequencing circular genomes and describe a computational pipeline focused on anellovirus detection. We assessed our protocol across various sample dilutions and successfully differentiated anellovirus sequences in conditions simulating mixed infections. This method provides a robust framework for the comprehensive characterization of circular viruses within the human virome using the Oxford Nanopore."
2024 Apr 11,Developmental cell,Dev Cell. 2024 Apr 11:S1534-5807(24)00200-4. doi: 10.1016/j.devcel.2024.03.032.,"['Guerrero Zuniga, Adler', 'Aikin, Timothy J', 'McKenney, Connor', 'Lendner, Yovel', 'Phung, Alain', 'Hook, Paul W', 'Meltzer, Amy', 'Timp, Winston', 'Regot, Sergi']","['cell cycle dynamics', 'oncogenesis', 'signaling dynamics', 'whole-genome duplication']",Sustained ERK signaling promotes G2 cell cycle exit and primes cells for whole-genome duplication.,"Whole-genome duplication (WGD) is a frequent event in cancer evolution that fuels chromosomal instability. WGD can result from mitotic errors or endoreduplication, yet the molecular mechanisms that drive WGD remain unclear. Here, we use live single-cell analysis to characterize cell-cycle dynamics upon aberrant Ras-ERK signaling. We find that sustained ERK signaling in human cells leads to reactivation of the APC/C in G2, resulting in tetraploid G0-like cells that are primed for WGD. This process is independent of DNA damage or p53 but dependent on p21. Transcriptomics analysis and live-cell imaging showed that constitutive ERK activity promotes p21 expression, which is necessary and sufficient to inhibit CDK activity and which prematurely activates the anaphase-promoting complex (APC/C). Finally, either loss of p53 or reduced ERK signaling allowed for endoreduplication, completing a WGD event. Thus, sustained ERK signaling-induced G2 cell cycle exit represents an alternative path to WGD."
2024 May 7,"G3 (Bethesda, Md.)",G3 (Bethesda). 2024 May 7;14(5):jkae061. doi: 10.1093/g3journal/jkae061.,"['Neale, David B', 'Zimin, Aleksey V', 'Meltzer, Amy', 'Bhattarai, Akriti', 'Amee, Maurice', 'Figueroa Corona, Laura', 'Allen, Brian J', 'Puiu, Daniela', 'Wright, Jessica', 'De La Torre, Amanda R', 'McGuire, Patrick E', 'Timp, Winston', 'Salzberg, Steven L', 'Wegrzyn, Jill L']","[' pinus genetics parasitology', ' molecular sequence annotation', ' genome, plant', 'genomics methods', 'endangered species', 'high-throughput nucleotide sequencing', 'pinus albicaulis', 'annotation', 'conifer', 'genome assembly', 'gymnosperm', 'whitebark pine']",A genome sequence for the threatened whitebark pine.,"Whitebark pine (WBP, Pinus albicaulis) is a white pine of subalpine regions in the Western contiguous United States and Canada. WBP has become critically threatened throughout a significant part of its natural range due to mortality from the introduced fungal pathogen white pine blister rust (WPBR, Cronartium ribicola) and additional threats from mountain pine beetle (Dendroctonus ponderosae), wildfire, and maladaptation due to changing climate. Vast acreages of WBP have suffered nearly complete mortality. Genomic technologies can contribute to a faster, more cost-effective approach to the traditional practices of identifying disease-resistant, climate-adapted seed sources for restoration. With deep-coverage Illumina short reads of haploid megagametophyte tissue and Oxford Nanopore long reads of diploid needle tissue, followed by a hybrid, multistep assembly approach, we produced a final assembly containing 27.6 Gb of sequence in 92,740 contigs (N50 537,007 bp) and 34,716 scaffolds (N50 2.0 Gb). Approximately 87.2% (24.0 Gb) of total sequence was placed on the 12 WBP chromosomes. Annotation yielded 25,362 protein-coding genes, and over 77% of the genome was characterized as repeats. WBP has demonstrated the greatest variation in resistance to WPBR among the North American white pines. Candidate genes for quantitative resistance include disease resistance genes known as nucleotide-binding leucine-rich repeat receptors (NLRs). A combination of protein domain alignments and direct genome scanning was employed to fully describe the 3 subclasses of NLRs. Our high-quality reference sequence and annotation provide a marked improvement in NLR identification compared to previous assessments that leveraged de novo-assembled transcriptomes."
2023 Nov 2,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Nov 2:2023.11.01.565189. doi: 10.1101/2023.11.01.565189.,"['Saba, James A', 'Huang, Zixuan', 'Schole, Kate L', 'Ye, Xianwen', 'Bhatt, Shrey D', 'Li, Yi', 'Timp, Winston', 'Cheng, Jingdong', 'Green, Rachel']",[],LARP1 senses free ribosomes to coordinate supply and demand of ribosomal proteins.,"Terminal oligopyrimidine motif-containing mRNAs (TOPs) encode all ribosomal proteins in mammals and are regulated to tune ribosome synthesis to cell state. Previous studies implicate LARP1 in 40S- or 80S-ribosome complexes that repress and stabilize TOPs. However, a mechanistic understanding of how LARP1 and TOPs interact with these complexes to coordinate TOP outcomes is lacking. Here, we show that LARP1 senses the cellular supply of ribosomes by directly binding non-translating ribosomal subunits. Cryo-EM structures reveal a previously uncharacterized domain of LARP1 bound to and occluding the 40S mRNA channel. Free cytosolic ribosomes induce sequestration of TOPs in repressed 80S-LARP1-TOP complexes independent of alterations in mTOR signaling. Together, this work demonstrates a general ribosome-sensing function of LARP1 that allows it to tune ribosome protein synthesis to cellular demand."
2023 Oct 20,ACS synthetic biology,ACS Synth Biol. 2023 Oct 20;12(10):2834-2842. doi: 10.1021/acssynbio.3c00328. ,"['Tague, Nathan', 'Andreani, Virgile', 'Fan, Yunfan', 'Timp, Winston', 'Dunlop, Mary J']","[' genetic engineering methods', 'bayes theorem', ' integrases genetics metabolism', 'protein engineering', 'proteins', 'bayesian inference', 'cre recombinase', 'domain insertion profiling', 'optogenetics', 'protein engineering', 'split proteins']",Comprehensive Screening of a Light-Inducible Split Cre Recombinase with Domain Insertion Profiling.,"Splitting proteins with light- or chemically inducible dimers provides a mechanism for post-translational control of protein function. However, current methods for engineering stimulus-responsive split proteins often require significant protein engineering expertise and the laborious screening of individual constructs. To address this challenge, we use a pooled library approach that enables rapid generation and screening of nearly all possible split protein constructs in parallel, where results can be read out by using sequencing. We perform our method on Cre recombinase with optogenetic dimers as a proof of concept, resulting in comprehensive data on the split sites throughout the protein. To improve the accuracy in predicting split protein behavior, we develop a Bayesian computational approach to contextualize errors inherent to experimental procedures. Overall, our method provides a streamlined approach for achieving inducible post-translational control of a protein of interest."
2023 Oct 3,"Bioinformatics (Oxford, England)",Bioinformatics. 2023 Oct 3;39(10):btad572. doi: 10.1093/bioinformatics/btad572.,"['Volkel, Kevin D', 'Lin, Kevin N', 'Hook, Paul W', 'Timp, Winston', 'Keung, Albert J', 'Tuck, James M']",[],"FrameD: framework for DNA-based data storage design, verification, and validation.","MOTIVATION: DNA-based data storage is a quickly growing field that hopes to harness the massive theoretical information density of DNA molecules to produce a competitive next-generation storage medium suitable for archival data. In recent years, many DNA-based storage system designs have been proposed. Given that no common infrastructure exists for simulating these storage systems, comparing many different designs along with many different error models is increasingly difficult. To address this challenge, we introduce FrameD, a simulation infrastructure for DNA storage systems that leverages the underlying modularity of DNA storage system designs to provide a framework to express different designs while being able to reuse common components. RESULTS: We demonstrate the utility of FrameD and the need for a common simulation platform using a case study. Our case study compares designs that utilize strand copies differently, some that align strand copies using multiple sequence alignment algorithms and others that do not. We found that the choice to include multiple sequence alignment in the pipeline is dependent on the error rate and the type of errors being injected and is not always beneficial. In addition to supporting a wide range of designs, FrameD provides the user with transparent parallelism to deal with a large number of reads from sequencing and the need for many fault injection iterations. We believe that FrameD fills a void in the tools publicly available to the DNA storage community by providing a modular and extensible framework with support for massive parallelism. As a result, it will help accelerate the design process of future DNA-based storage systems. AVAILABILITY AND IMPLEMENTATION: The source code for FrameD along with the data generated during the demonstration of FrameD is available in a public Github repository at https://github.com/dna-storage/framed, (https://dx.doi.org/10.5281/zenodo.7757762)."
2023 Oct,Nature methods,Nat Methods. 2023 Oct;20(10):1483-1492. doi: 10.1038/s41592-023-01993-x. Epub ,"['Kolmogorov, Mikhail', 'Billingsley, Kimberley J', 'Mastoras, Mira', 'Meredith, Melissa', 'Monlong, Jean', 'Lorig-Roach, Ryan', 'Asri, Mobin', 'Alvarez Jerez, Pilar', 'Malik, Laksh', 'Dewan, Ramita', 'Reed, Xylena', 'Genner, Rylee M', 'Daida, Kensuke', 'Behera, Sairam', 'Shafin, Kishwar', 'Pesout, Trevor', 'Prabakaran, Jeshuwin', 'Carnevali, Paolo', 'Yang, Jianzhi', 'Rhie, Arang', 'Scholz, Sonja W', 'Traynor, Bryan J', 'Miga, Karen H', 'Jain, Miten', 'Timp, Winston', 'Phillippy, Adam M', 'Chaisson, Mark', 'Sedlazeck, Fritz J', 'Blauwendraat, Cornelis', 'Paten, Benedict']","['humans', 'sequence analysis, dna methods', 'haplotypes', ' genome, human', ' nanopore sequencing', 'methylation', 'pilot projects', 'high-throughput nucleotide sequencing methods']",Scalable Nanopore sequencing of human genomes provides a comprehensive view of haplotype-resolved variation and methylation.,"Long-read sequencing technologies substantially overcome the limitations of short-reads but have not been considered as a feasible replacement for population-scale projects, being a combination of too expensive, not scalable enough or too error-prone. Here we develop an efficient and scalable wet lab and computational protocol, Napu, for Oxford Nanopore Technologies long-read sequencing that seeks to address those limitations. We applied our protocol to cell lines and brain tissue samples as part of a pilot project for the National Institutes of Health Center for Alzheimer's and Related Dementias. Using a single PromethION flow cell, we can detect single nucleotide polymorphisms with F1-score comparable to Illumina short-read sequencing. Small indel calling remains difficult within homopolymers and tandem repeats, but achieves good concordance to Illumina indel calls elsewhere. Further, we can discover structural variants with F1-score on par with state-of-the-art de novo assembly methods. Our protocol phases small and structural variants at megabase scales and produces highly accurate, haplotype-specific methylation calls."
2023 Sep,Nature,Nature. 2023 Sep;621(7978):344-354. doi: 10.1038/s41586-023-06457-y. Epub 2023 ,"['Rhie, Arang', 'Nurk, Sergey', 'Cechova, Monika', 'Hoyt, Savannah J', 'Taylor, Dylan J', 'Altemose, Nicolas', 'Hook, Paul W', 'Koren, Sergey', 'Rautiainen, Mikko', 'Alexandrov, Ivan A', 'Allen, Jamie', 'Asri, Mobin', 'Bzikadze, Andrey V', 'Chen, Nae-Chyun', 'Chin, Chen-Shan', 'Diekhans, Mark', 'Flicek, Paul', 'Formenti, Giulio', 'Fungtammasan, Arkarachai', 'Garcia Giron, Carlos', 'Garrison, Erik', 'Gershman, Ariel', 'Gerton, Jennifer L', 'Grady, Patrick G S', 'Guarracino, Andrea', 'Haggerty, Leanne', 'Halabian, Reza', 'Hansen, Nancy F', 'Harris, Robert', 'Hartley, Gabrielle A', 'Harvey, William T', 'Haukness, Marina', 'Heinz, Jakob', 'Hourlier, Thibaut', 'Hubley, Robert M', 'Hunt, Sarah E', 'Hwang, Stephen', 'Jain, Miten', 'Kesharwani, Rupesh K', 'Lewis, Alexandra P', 'Li, Heng', 'Logsdon, Glennis A', 'Lucas, Julian K', 'Makalowski, Wojciech', 'Markovic, Christopher', 'Martin, Fergal J', 'Mc Cartney, Ann M', 'McCoy, Rajiv C', 'McDaniel, Jennifer', 'McNulty, Brandy M', 'Medvedev, Paul', 'Mikheenko, Alla', 'Munson, Katherine M', 'Murphy, Terence D', 'Olsen, Hugh E', 'Olson, Nathan D', 'Paulin, Luis F', 'Porubsky, David', 'Potapova, Tamara', 'Ryabov, Fedor', 'Salzberg, Steven L', 'Sauria, Michael E G', 'Sedlazeck, Fritz J', 'Shafin, Kishwar', 'Shepelev, Valery A', 'Shumate, Alaina', 'Storer, Jessica M', 'Surapaneni, Likhitha', 'Taravella Oill, Angela M', 'Thibaud-Nissen, Françoise', 'Timp, Winston', 'Tomaszkiewicz, Marta', 'Vollger, Mitchell R', 'Walenz, Brian P', 'Watwood, Allison C', 'Weissensteiner, Matthias H', 'Wenger, Aaron M', 'Wilson, Melissa A', 'Zarate, Samantha', 'Zhu, Yiming', 'Zook, Justin M', 'Eichler, Evan E', ""O'Neill, Rachel J"", 'Schatz, Michael C', 'Miga, Karen H', 'Makova, Kateryna D', 'Phillippy, Adam M']","['humans', 'base sequence', ' chromosomes, human, y genetics', 'dna, satellite genetics', 'genetic variation genetics', 'genetics, population', ' genomics methods standards', 'heterochromatin genetics', 'multigene family genetics', 'reference standards', 'segmental duplications, genomic genetics', ' sequence analysis, dna standards', 'tandem repeat sequences genetics', 'telomere genetics']",The complete sequence of a human Y chromosome.,"The human Y chromosome has been notoriously difficult to sequence and assemble because of its complex repeat structure that includes long palindromes, tandem repeats and segmental duplications(1-3). As a result, more than half of the Y chromosome is missing from the GRCh38 reference sequence and it remains the last human chromosome to be finished(4,5). Here, the Telomere-to-Telomere (T2T) consortium presents the complete 62,460,029-base-pair sequence of a human Y chromosome from the HG002 genome (T2T-Y) that corrects multiple errors in GRCh38-Y and adds over 30 million base pairs of sequence to the reference, showing the complete ampliconic structures of gene families TSPY, DAZ and RBMY; 41 additional protein-coding genes, mostly from the TSPY family; and an alternating pattern of human satellite 1 and 3 blocks in the heterochromatic Yq12 region. We have combined T2T-Y with a previous assembly of the CHM13 genome(4) and mapped available population variation, clinical variants and functional genomics data to produce a complete and comprehensive reference sequence for all 24 human chromosomes."
2023 Sep 22,Plant physiology,Plant Physiol. 2023 Sep 22;193(2):1016-1035. doi: 10.1093/plphys/kiad409.,"['Zhou, Junhui', 'Li, Muzi', 'Li, Yongping', 'Xiao, Yuwei', 'Luo, Xi', 'Gao, Shenglan', 'Ma, Zhimin', 'Sadowski, Norah', 'Timp, Winston', 'Dardick, Chris', 'Callahan, Ann', 'Mount, Stephen M', 'Liu, Zhongchi']","[' fragaria', ' rubus genetics', 'fruit metabolism', 'transcriptome genetics', 'genomics']",Comparison of red raspberry and wild strawberry fruits reveals mechanisms of fruit type specification.,"Belonging to Rosaceae, red raspberry (Rubus idaeus) and wild strawberry (Fragaria vesca) are closely related species with distinct fruit types. While the numerous ovaries become the juicy drupelet fruits in raspberry, their strawberry counterparts become dry and tasteless achenes. In contrast, while the strawberry receptacle, the stem tip, enlarges to become a red fruit, the raspberry receptacle shrinks and dries. The distinct fruit-forming ability of homologous organs in these 2 species allows us to investigate fruit type determination. We assembled and annotated the genome of red raspberry (R. idaeus) and characterized its fruit development morphologically and physiologically. Subsequently, transcriptomes of dissected and staged raspberry fruit tissues were compared to those of strawberry from a prior study. Class B MADS box gene expression was negatively associated with fruit-forming ability, which suggested a conserved inhibitory role of class B heterodimers, PISTILLATA/TM6 or PISTILLATA/APETALA3, for fruit formation. Additionally, the inability of strawberry ovaries to develop into fruit flesh was associated with highly expressed lignification genes and extensive lignification of the ovary pericarp. Finally, coexpressed gene clusters preferentially expressed in the dry strawberry achenes were enriched in ""cell wall biosynthesis"" and ""ABA signaling,"" while coexpressed clusters preferentially expressed in the fleshy raspberry drupelets were enriched in ""protein translation."" Our work provides extensive genomic resources as well as several potential mechanisms underlying fruit type specification. These findings provide the framework for understanding the evolution of different fruit types, a defining feature of angiosperms."
2023 Jun,JAC-antimicrobial resistance,JAC Antimicrob Resist. 2023 May 26;5(3):dlad061. doi: 10.1093/jacamr/dlad061. ,"['Simner, Patricia J', 'Bergman, Yehudit', 'Fan, Yunfan', 'Jacobs, Emily B', 'Ramakrishnan, Srividya', 'Lu, Jennifer', 'Lewis, Shawna', 'Hanlon, Ann', 'Tamma, Pranita D', 'Schatz, Michael C', 'Timp, Winston', 'Carroll, Karen C']",[],Multicentre genetic diversity study of carbapenem-resistant Enterobacterales: predominance of untypeable pUVA-like bla(KPC) bearing plasmids.,"OBJECTIVES: Carbapenem-resistant Enterobacterales (CRE) are an urgent public health threat. A better understanding of the molecular epidemiology and transmission dynamics of CRE is necessary to limit their dissemination within healthcare settings. We sought to investigate the mechanisms of resistance and spread of CRE within multiple hospitals in Maryland. METHODS: From 2016 to 2018, all CRE were collected from any specimen source from The Johns Hopkins Medical Institutions. The isolates were further characterized using both phenotypic and genotypic approaches, including short- and/or long-read WGS. RESULTS: From 2016 to 2018, 302 of 40 908 (0.7%) unique Enterobacterales isolates were identified as CRE. Of CRE, 142 (47%) were carbapenemase-producing CRE with KPC (80.3%) predominating among various genera. Significant genetic diversity was identified among all CRE with high-risk clones serving as major drivers of clonal clusters. Further, we found the predominance of pUVA-like plasmids, with a subset harbouring resistance genes to environmental cleaning agents, involved in intergenus dissemination of bla(KPC) genes. CONCLUSIONS: Our findings provide valuable data to understand the transmission dynamics of all CRE within the greater Maryland region. These data can help guide targeted interventions to limit CRE transmission in healthcare facilities."
